LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
98.900	18.330	18.100	0.000	0.000	4501	5	10.000	10.000	900	WRN1601	489739	2027787	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1601	-10.00000000000
98.830	18.390	18.000	0.000	0.000	3069	5	10.000	10.000	399	WRN4	482657	2033859	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN4	-10.00000000000
98.880	18.370	5.300	0.000	0.000	4080	5	10.000	10.000	1389	WRN1506	487759	2031590	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1506	-10.00000000000
98.880	18.390	5.300	0.000	0.000	4100	5	10.000	10.000	1374	WRN1478	488081	2033740	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1478	-10.00000000000
98.800	18.420	17.000	0.000	0.000	2478	5	10.000	10.000	1215	WRN458	479574	2037484	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN458	-10.00000000000
98.850	18.450	17.000	0.000	0.000	3357	5	10.000	10.000	1172	WRN931	485155	2040618	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN931	-10.00000000000
98.860	18.450	17.000	0.000	0.000	3605	5	10.000	10.000	839	WRN918	485475	2040960	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN918	-10.00000000000
98.860	18.450	17.000	0.000	0.000	3606	5	10.000	10.000	843	WRN916	485501	2040783	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN916	-10.00000000000
98.870	18.350	17.000	0.000	0.000	3781	5	10.000	10.000	1106	WRN1353	487209	2029656	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1353	-10.00000000000
98.890	18.350	17.000	0.000	0.000	4314	5	10.000	10.000	944	WRN1551	488985	2029151	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1551	-10.00000000000
98.910	18.310	16.960	0.000	0.000	4642	5	10.000	10.000	844	WRN1733	491264	2024961	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1733	-10.00000000000
98.890	18.350	16.800	0.000	0.000	4315	5	10.000	10.000	881	WRN1701	488510	2029069	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1701	-10.00000000000
98.860	18.370	4.900	0.000	0.000	3489	5	10.000	10.000	701	WRN1422	486154	2031955	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1422	-10.00000000000
98.850	18.450	16.000	0.000	0.000	3358	5	10.000	10.000	1165	WRN926	485207	2040917	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN926	-10.00000000000
98.810	18.430	15.000	0.000	0.000	2731	6	10.000	10.000	413	WRN489	480250	2038233	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN489	-10.00000000000
98.870	18.350	14.950	0.000	0.000	3782	6	10.000	10.000	743	WRN1449	487300	2029413	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1449	-10.00000000000
98.900	18.350	14.520	0.000	0.000	4517	6	10.000	10.000	921	WRN1528	489838	2029638	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1528	-10.00000000000
98.830	18.270	9.300	3.000	2.270	3053	6	15.000	15.000	221	G572	482428	2020738	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G572	-15.00000000000
98.860	18.380	4.200	0.000	0.000	3530	6	10.000	10.000	1604	WRN1417	485897	2032667	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1417	-10.00000000000
98.870	18.350	13.440	0.000	0.000	3783	6	10.000	10.000	444	WRN1364	486430	2029874	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1364	-10.00000000000
98.920	17.870	12.000	3.000	7.000	4786	6	18.000	18.000	2387	MW864	491809	1976608	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MW864	-18.00000000000
98.880	18.370	21.000	1.500	2.270	4081	6	27.000	27.000	1908	MW704	488059	2031640	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MW704	-27.00000000000
98.930	18.480	19.600	5.900	40.000	4935	6	12.000	8.150	1777	PW3744	493311	2043519	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW3744	-12.00000000000
98.880	18.390	12.300	0.000	0.000	4097	6	10.000	10.000	1527	WRN1455	487448	2034001	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1455	-10.00000000000
98.910	18.310	11.100	0.000	0.000	4643	7	10.000	10.000	838	WRN1739	491366	2025322	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1739	-10.00000000000
98.900	18.350	10.730	0.000	0.000	4518	7	10.000	10.000	979	WRN1670	490230	2029629	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1670	-10.00000000000
98.860	18.370	3.100	0.000	0.000	3490	7	10.000	10.000	644	WRN1384	486039	2031638	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1384	-10.00000000000
98.960	18.400	15.000	5.000	0.500	5298	7	22.000	22.000	2305	LN85	496052	2034596	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=LN85	-22.00000000000
98.930	18.400	65.000	0.000	0.000	4929	7	72.000	72.000	356	WRN1058	492809	2034791	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1058	-72.00000000000
98.960	18.360	10.500	4.500	1.140	5296	8	18.000	18.000	2328	MW664	496345	2030888	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MW664	-18.00000000000
98.990	17.920	13.500	1.500	4.550	5621	8	21.000	21.000	2391	MW692	499088	1982240	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MW692	-21.00000000000
98.920	17.840	15.830	2.800	3.440	4782	8	24.000	24.000	2473	G314	492410	1972682	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G314	-24.00000000000
98.860	18.410	1.500	0.000	0.000	3560	9	10.000	10.000	1271	WRN1103	485888	2035821	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1103	-10.00000000000
98.900	18.380	12.070	4.590	6.850	4541	9	21.000	21.000	1907	MW702	490437	2032812	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MW702	-21.00000000000
98.860	18.360	18.000	2.000	6.000	3472	9	27.000	27.000	1903	MW825	485546	2030819	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MW825	-27.00000000000
98.990	17.920	22.000	1.000	10.000	5622	10	31.500	31.500	2390	MW964	499500	1982406	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MW964	-31.50000000000
98.780	18.360	0.000	0.000	0.000	2171	10	10.000	10.000	266	WRN1652	477688	2031031	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1652	-10.00000000000
98.790	18.350	0.000	0.000	0.000	2240	10	10.000	10.000	276	WRN1664	478563	2030006	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1664	-10.00000000000
98.790	18.360	0.000	0.000	0.000	2243	10	10.000	10.000	246	WRN1630	478513	2031019	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1630	-10.00000000000
98.790	18.360	0.000	0.000	0.000	2244	10	10.000	10.000	247	WRN1631	478581	2030912	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1631	-10.00000000000
98.790	18.360	0.000	0.000	0.000	2245	10	10.000	10.000	248	WRN1632	478458	2030794	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1632	-10.00000000000
98.790	18.360	0.000	0.000	0.000	2246	10	10.000	10.000	260	WRN1646	478466	2030682	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1646	-10.00000000000
98.790	18.360	0.000	0.000	0.000	2247	10	10.000	10.000	261	WRN1647	478497	2030451	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1647	-10.00000000000
98.790	18.360	0.000	0.000	0.000	2248	10	10.000	10.000	264	WRN1650	478676	2030314	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1650	-10.00000000000
98.790	18.370	0.000	0.000	0.000	2252	10	10.000	10.000	271	WRN1657	478756	2031762	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1657	-10.00000000000
98.800	18.380	0.000	0.000	0.000	2367	10	10.000	10.000	249	WRN1635	479866	2033252	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1635	-10.00000000000
98.800	18.390	0.000	0.000	0.000	2373	10	10.000	10.000	267	WRN1653	479877	2033589	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1653	-10.00000000000
98.800	18.390	0.000	0.000	0.000	2374	10	10.000	10.000	269	WRN1655	479924	2033691	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1655	-10.00000000000
98.800	18.400	0.000	0.000	0.000	2375	10	10.000	10.000	2635	WRN1579	479910	2035450	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1579	-10.00000000000
98.800	18.400	0.000	0.000	0.000	2376	10	10.000	10.000	2638	WRN1580	479868	2035062	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1580	-10.00000000000
98.800	18.400	0.000	0.000	0.000	2377	10	10.000	10.000	2642	WRN1581	479905	2035084	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1581	-10.00000000000
98.800	18.400	0.000	0.000	0.000	2378	10	10.000	10.000	2648	WRN1582	479822	2035140	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1582	-10.00000000000
98.800	18.400	0.000	0.000	0.000	2379	10	10.000	10.000	2660	WRN1589	479371	2035471	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1589	-10.00000000000
98.800	18.400	0.000	0.000	0.000	2380	10	10.000	10.000	2661	WRN1590	479405	2035435	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1590	-10.00000000000
