LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
99.210	18.080	0.000	0.000	30.000	8878	17	16.500	15.580	1244	PW2900	522560	1999196	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW2900	-16.50000000000
99.530	18.150	1.500	5.100	4.500	14050	17	18.000	18.000	919	MM517	556350	2007114	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM517	-18.00000000000
99.090	17.570	4.500	10.500	1.140	7072	17	21.000	18.000	973	DCD18861	509964	1942677	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18861	-21.00000000000
99.620	18.130	7.500	9.000	1.820	16110	17	24.000	0.000	923	DCD18926	566132	2005644	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18926	-24.00000000000
99.190	17.490	14.000	3.000	1.500	8620	17	30.500	30.280	348	PW14251	520656	1933928	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW14251	-30.50000000000
99.180	17.520	4.500	9.600	2.500	8506	17	21.260	21.260	323	PW24185	520056	1938042	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW24185	-21.26000000000
99.200	18.100	0.000	0.000	3.000	8774	17	17.000	15.260	1208	PW2477	521985	2001788	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW2477	-17.00000000000
99.470	18.530	5.000	3.500	6.000	12565	17	22.000	21.360	514	PW7340	550557	2049704	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW7340	-22.00000000000
99.140	17.470	8.000	12.000	3.000	7881	17	25.000	21.000	996	DCD18845	515538	1931861	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18845	-25.00000000000
99.170	17.590	8.000	13.000	2.400	8347	17	25.000	25.000	355	DCD18833	518577	1945519	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18833	-25.00000000000
99.160	17.510	8.000	14.000	3.200	8172	17	25.000	21.000	954	DCD18872	517952	1937035	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18872	-25.00000000000
99.180	18.010	10.000	2.000	2.000	8517	17	27.000	24.490	1227	PW17235	519311	1991410	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW17235	-27.00000000000
99.330	17.550	12.000	8.000	4.000	10076	17	29.000	27.340	376	PW16675	535887	1940519	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW16675	-29.00000000000
99.410	17.900	18.000	6.000	2.000	11319	17	35.000	30.480	1161	PW9283	543907	1980152	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW9283	-35.00000000000
99.360	17.700	18.000	20.000	2.700	10542	17	35.000	35.000	312	DCD18790	539064	1957957	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18790	-35.00000000000
99.260	17.790	5.400	9.900	3.410	9401	17	22.500	0.000	352	DCD18822	528142	1967740	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18822	-22.50000000000
99.430	18.270	5.100	2.400	4.000	11698	17	22.500	22.000	691	MM609	546058	2021027	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM609	-22.50000000000
99.350	17.420	12.600	24.000	2.500	10365	17	30.000	30.000	307	DCD18807	537862	1926310	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18807	-30.00000000000
99.650	18.250	6.500	3.500	10.000	16835	18	24.000	18.160	1019	PW18875	569567	2018213	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW18875	-24.00000000000
99.140	17.460	4.500	13.500	2.270	7878	18	22.500	20.000	994	DCD18857	515775	1931355	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18857	-22.50000000000
99.180	17.600	6.000	0.000	4.540	8512	18	24.000	0.000	283	DCD18835	519711	1946847	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18835	-24.00000000000
99.150	18.050	6.000	2.000	2.000	8025	18	24.000	21.150	1231	PW14806	516018	1996772	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW14806	-24.00000000000
98.980	17.520	6.000	14.400	1.140	5516	18	24.000	24.000	999	MH254	498746	1938204	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MH254	-24.00000000000
99.370	17.620	6.000	15.000	4.540	10695	18	24.000	24.000	284	DCD18795	539706	1949053	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18795	-24.00000000000
99.190	17.520	6.000	18.000	2.270	8626	18	24.000	24.000	321	DCD18787	520548	1937820	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18787	-24.00000000000
99.500	18.100	7.500	16.500	4.090	13249	18	25.500	0.000	895	DCD18901	553377	2001710	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18901	-25.50000000000
99.380	17.640	8.000	12.000	2.000	10837	18	26.000	19.190	372	PW12906	540473	1951034	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW12906	-26.00000000000
99.500	18.120	12.000	17.000	2.200	13250	18	30.000	0.000	890	DCD18884	553514	2004196	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18884	-30.00000000000
99.330	17.590	12.000	18.000	4.540	10078	18	30.000	30.000	287	DCD18794	535674	1945728	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18794	-30.00000000000
99.360	17.460	15.000	7.500	4.000	10538	18	33.000	33.000	294	RTD60	538721	1930734	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=RTD60	-33.00000000000
99.080	17.560	22.500	22.500	4.540	6891	18	40.500	39.000	988	DCD18862	509242	1942187	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18862	-40.50000000000
99.480	18.180	8.860	0.000	0.000	12799	18	27.000	27.000	810	W1265	550777	2010250	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=W1265	-27.00000000000
99.490	18.170	26.000	0.000	1.500	13002	18	26.000	18.160	881	PW18873	552787	2009575	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW18873	-26.00000000000
99.320	18.080	6.000	0.600	1.000	9958	19	25.000	24.100	82	PW4931	534413	1999599	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW4931	-25.00000000000
99.190	17.490	6.000	18.000	2.200	8621	19	25.000	25.000	347	DCD18783	520354	1934768	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18783	-25.00000000000
99.240	18.050	8.000	15.000	2.000	9179	19	27.000	0.000	1257	DCD18710	526287	1996327	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18710	-27.00000000000
99.300	18.370	8.000	15.000	3.000	9750	19	27.000	0.000	1361	DCD18995	532045	2031855	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18995	-27.00000000000
99.590	19.110	10.000	19.000	2.200	15429	19	29.000	0.000	1094	DCD18769	563041	2113142	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18769	-29.00000000000
99.240	18.050	0.000	0.000	2.000	9180	19	19.100	18.300	1254	PW3355	526247	1996359	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW3355	-19.10000000000
99.240	18.050	0.000	0.000	18.000	9181	19	19.100	18.300	1255	PW3356	526390	1996315	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW3356	-19.10000000000
99.420	18.240	4.820	10.850	10.650	11508	19	24.000	24.000	777	TF30	545091	2017285	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=TF30	-24.00000000000
99.630	18.450	3.800	1.200	24.000	16362	19	23.000	21.330	652	PW7466	566672	2040434	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW7466	-23.00000000000
99.330	18.320	1.770	7.100	6.000	10093	19	21.000	21.000	1378	MM313	535792	2026413	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM313	-21.00000000000
99.960	18.720	3.000	0.000	2.000	27679	20	22.500	21.150	163	PW21377	601767	2070471	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW21377	-22.50000000000
99.370	18.150	3.000	2.400	6.800	10701	20	22.500	21.000	24	MM575	539667	2007080	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM575	-22.50000000000
99.350	17.490	3.000	7.500	2.270	10373	20	22.500	0.000	271	DCD18815	537584	1934827	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18815	-22.50000000000
99.350	18.200	3.000	7.500	4.090	10385	20	22.500	0.000	96	DCD18687	537922	2013002	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18687	-22.50000000000
99.170	18.000	4.500	1.500	2.000	8354	20	24.000	12.150	1222	PW14805	518659	1990925	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW14805	-24.00000000000
99.180	17.670	7.500	5.400	3.410	8514	20	27.000	27.000	342	MM329	519369	1954760	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM329	-27.00000000000
99.480	18.190	7.500	9.600	2.270	12804	20	27.000	24.000	683	W118	551276	2012007	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=W118	-27.00000000000
99.460	18.170	7.500	19.500	1.140	12316	20	27.000	0.000	914	DCD18916	549224	2009978	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18916	-27.00000000000
99.620	18.430	10.500	3.500	3.000	16115	20	30.000	27.250	588	PW7613	566374	2038060	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW7613	-30.00000000000
99.380	17.880	16.500	16.500	1.140	10839	20	36.000	36.000	1164	MH203	540697	1977201	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MH203	-36.00000000000
99.490	18.190	32.660	7.330	1.440	13008	20	52.500	51.000	630	MW466	552838	2012000	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MW466	-52.50000000000
99.230	18.070	0.000	0.000	2.000	9088	20	20.000	18.300	1234	PW3357	524994	1998498	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW3357	-20.00000000000
99.410	18.200	4.000	2.000	5.000	11321	20	24.000	20.000	33	LP4	544162	2013384	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=LP4	-24.00000000000
99.130	17.440	5.000	15.000	5.700	7719	20	25.000	22.000	982	DCD18878	514459	1928765	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18878	-25.00000000000
99.160	18.170	10.000	15.000	2.000	8182	20	30.000	24.390	1239	PW11252	517517	2010010	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW11252	-30.00000000000
99.650	18.240	3.900	6.600	4.000	16834	20	24.000	24.000	1017	RTD34	569511	2017405	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=RTD34	-24.00000000000
99.390	18.220	1.800	6.700	2.500	11032	20	22.000	21.100	3	PW5141	541529	2014610	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW5141	-22.00000000000
99.170	17.580	6.710	0.190	6.000	8342	20	27.000	21.000	291	MM326	518141	1944307	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM326	-27.00000000000
99.280	18.100	9.600	16.200	7.500	9587	20	30.000	0.000	1199	DCD18702	530556	2001358	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18702	-30.00000000000
99.970	18.720	3.000	3.000	6.000	28057	21	23.500	21.150	161	PW21378	602349	2070950	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW21378	-23.50000000000
99.620	19.120	6.300	0.600	9.090	16128	21	27.000	27.000	1097	MM336	565998	2114457	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM336	-27.00000000000
99.930	18.880	3.100	16.400	2.270	26531	21	24.000	24.000	132	ME1122	598620	2088756	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=ME1122	-24.00000000000
99.190	17.590	3.000	5.000	10.000	8632	21	24.000	24.000	317	5701D100	520720	1945502	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5701D100	-24.00000000000
99.340	18.240	3.000	15.000	6.130	10229	21	24.000	0.000	27	DCD18667	536290	2017380	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18667	-24.00000000000
99.180	17.500	4.500	18.000	1.140	8499	21	25.500	24.000	279	W130	519751	1935036	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=W130	-25.50000000000
99.490	18.760	6.000	18.000	2.500	13045	21	27.000	0.000	418	DCD19015	552360	2074706	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD19015	-27.00000000000
99.190	18.100	7.500	16.500	1.820	8639	21	28.500	0.000	1264	DCD18722	520746	2002242	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18722	-28.50000000000
99.150	17.540	9.000	9.600	4.770	8013	21	30.000	30.000	991	W193	516513	1939661	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=W193	-30.00000000000
99.540	18.660	9.000	22.000	3.500	14303	21	30.000	0.000	229	DCD18757	557753	2063984	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18757	-30.00000000000
99.150	17.440	12.000	1.500	3.180	8008	21	33.000	33.000	984	MH257	516987	1928718	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MH257	-33.00000000000
99.140	17.530	12.000	12.000	0.000	7883	21	33.000	32.000	961	MM605	515337	1938779	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM605	-33.00000000000
99.340	17.600	13.500	13.500	1.140	10212	21	34.500	0.000	344	DCD18799	536436	1946604	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18799	-34.50000000000
99.170	17.610	15.000	21.000	4.000	8350	21	36.000	36.000	387	5501T043	518271	1947352	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5501T043	-36.00000000000
99.470	18.560	15.000	24.000	2.270	12579	21	36.000	0.000	439	DCD19040	550054	2052369	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD19040	-36.00000000000
99.610	19.070	18.000	3.900	4.550	15903	21	39.000	39.000	1032	MM359	564600	2108885	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM359	-39.00000000000
99.320	17.570	21.000	10.000	5.000	9948	21	42.000	42.000	350	LP64	534958	1943433	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=LP64	-42.00000000000
99.340	17.600	8.700	18.300	1.590	10213	21	30.000	30.000	345	MH208	536572	1946631	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MH208	-30.00000000000
99.470	18.530	5.400	6.600	4.500	12566	22	27.000	0.000	511	DCD19035	550507	2049733	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD19035	-27.00000000000
99.510	18.300	23.370	10.260	4.800	13529	22	45.000	45.000	567	MM355	554358	2024316	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM355	-45.00000000000
99.310	18.220	11.100	13.500	2.730	9846	22	33.000	30.000	99	MM343	533816	2015420	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM343	-33.00000000000
99.500	18.290	6.550	3.490	2.420	13268	22	28.500	27.000	519	MM489	553485	2023240	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM489	-28.50000000000
99.560	18.350	0.530	0.980	2.420	14716	22	22.500	21.000	816	MM512	559351	2029028	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM512	-22.50000000000
99.520	18.120	4.000	7.000	6.000	13777	22	26.000	26.000	941	LP156	555688	2004500	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=LP156	-26.00000000000
99.330	18.150	5.000	14.000	2.500	10082	22	27.000	0.000	91	DCD18683	535145	2007432	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18683	-27.00000000000
99.630	18.770	5.000	18.000	2.200	16363	22	27.000	0.000	193	DCD18764	566585	2075874	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18764	-27.00000000000
99.190	17.570	7.000	15.000	2.800	8628	22	29.000	27.000	328	DCD18829	520285	1943123	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18829	-29.00000000000
99.570	18.730	8.000	15.000	2.500	14966	22	30.000	0.000	250	DCD18766	560929	2071499	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18766	-30.00000000000
99.570	18.740	8.000	16.000	3.300	14967	22	30.000	0.000	223	DCD18765	560878	2072968	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18765	-30.00000000000
