LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
97.910	18.020	3.000	15.000	1.140	39	20	22.500	0.000	334	DCD18528	385228	1993083	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18528	-22.50000000000
97.910	18.330	4.000	8.000	15.000	68	20	24.000	24.000	189	MHS44	385218	2027384	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS44	-24.00000000000
97.950	18.920	16.000	5.000	5.000	198	20	36.000	36.000	21	5901F172	389536	2092372	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5901F172	-36.00000000000
97.900	18.240	4.600	13.700	3.400	23	20	25.000	0.000	258	DCD18435	384151	2018183	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18435	-25.00000000000
98.130	18.180	3.000	10.000	6.000	248	21	24.000	18.000	224	MHS48	408813	2011167	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS48	-24.00000000000
97.930	18.540	3.000	15.000	2.270	162	21	24.000	0.000	162	DCD18508	387214	2050315	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18508	-24.00000000000
97.920	18.200	4.000	12.000	5.800	113	21	25.000	0.000	227	DCD18436	386744	2013181	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18436	-25.00000000000
97.910	19.050	9.000	15.000	3.410	77	21	30.000	0.000	128	DCD18266	385818	2107430	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18266	-30.00000000000
97.900	18.800	21.000	36.000	2.300	31	21	42.000	0.000	9	DCD18350	384902	2079720	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18350	-42.00000000000
97.890	18.160	3.000	18.000	3.000	12	22	25.000	0.000	285	DCD18475	383256	2008569	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18475	-25.00000000000
97.920	18.180	3.000	18.000	2.200	107	22	25.000	0.000	298	DCD18437	385789	2011077	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18437	-25.00000000000
97.940	18.530	4.000	10.000	5.000	186	22	26.000	24.000	156	5401J034	388318	2049715	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5401J034	-26.00000000000
97.950	19.420	8.000	1.000	8.000	203	22	30.000	30.000	123	MHS3	390554	2148088	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS3	-30.00000000000
97.940	18.130	8.000	2.000	6.000	178	22	30.000	30.000	272	5801A023	388003	2006015	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5801A023	-30.00000000000
97.990	19.090	7.500	18.000	2.270	220	23	30.000	0.000	137	DCD18289	394380	2111493	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18289	-30.00000000000
97.900	18.800	12.000	16.500	7.950	32	23	34.500	0.000	10	DCD18357	384363	2079357	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18357	-34.50000000000
97.910	18.050	7.620	15.240	3.410	44	23	30.490	0.000	237	AFD7903	385060	1997091	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7903	-30.49000000000
97.960	18.540	1.000	0.000	8.000	206	23	24.000	24.000	171	5901F166	390532	2050429	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5901F166	-24.00000000000
97.910	18.050	2.000	3.000	8.000	45	23	25.000	0.000	245	DCD18489	385443	1996703	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18489	-25.00000000000
98.360	19.210	7.000	4.000	30.000	669	23	30.000	24.190	68	PW9914	433629	2124682	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW9914	-30.00000000000
98.370	19.210	7.000	4.000	2.000	705	23	30.000	24.210	76	PW9916	434231	2124337	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW9916	-30.00000000000
97.820	17.820	2.000	8.000	15.000	3	24	26.000	18.000	356	MHS31	375700	1971344	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS31	-26.00000000000
98.430	19.390	6.000	15.000	1.360	946	24	30.000	0.000	82	DCD18378	441137	2145180	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18378	-30.00000000000
97.950	19.280	6.000	18.000	6.000	199	24	30.000	0.000	140	DCD18306	390568	2132565	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18306	-30.00000000000
97.900	18.180	12.000	19.500	2.270	22	24	36.000	0.000	308	DCD18440	383964	2010700	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18440	-36.00000000000
97.930	18.120	12.000	24.000	2.300	137	24	36.000	0.000	259	DCD18470	387736	2004605	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18470	-36.00000000000
97.980	19.310	12.000	24.000	3.300	219	24	36.000	0.000	146	DCD18311	392854	2135689	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18311	-36.00000000000
98.360	19.210	12.000	27.000	2.800	670	24	36.000	0.000	69	DCD18424	433546	2124351	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18424	-36.00000000000
97.930	17.960	15.000	19.500	6.810	124	24	39.000	0.000	328	DCD18521	387060	1986326	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18521	-39.00000000000
97.930	18.040	12.200	18.290	4.090	128	24	36.590	0.000	345	AFD7938	387149	1996063	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7938	-36.59000000000
97.890	18.200	12.200	24.390	4.090	16	24	36.590	0.000	252	AFD7890	382721	2013765	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7890	-36.59000000000
97.910	18.090	20.000	6.000	5.000	50	25	45.000	36.000	303	TF392	385384	2000924	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=TF392	-45.00000000000
98.040	19.780	25.000	36.000	8.000	230	25	50.000	49.000	60	MHS51	399586	2187504	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS51	-50.00000000000
