Longitude	Latitude	Distance
98.279318	18.335021	18.335057
98.279487	18.334975	18.494187
98.279499	18.395786	32.594263
98.2798	18.334793	38.801185
98.280123	18.396337	28.998545
98.280186	18.334633	30.619708
98.28034	18.396498	10.786214
98.280403	18.334451	25.444919
98.280412	18.396567	10.786214
98.280548	18.334268	25.444919
98.280676	18.396797	9.168077
98.280748	18.396843	9.168077
98.280862	18.333788	16.291593
98.280959	18.333673	16.291593
98.281055	18.33349	16.295267
98.28107	18.397118	19.174862
98.28107	18.397118	19.174862
98.281152	18.333376	16.295267
98.281205	18.397233	17.864684
98.281286	18.397374	15.127773
98.281286	18.397374	15.127773
98.2814	18.397457	14.679912
98.281442	18.33301	31.026296
98.281498	18.397551	14.679912
98.281582	18.397665	12.763906
98.281582	18.397665	12.763906
98.281651	18.397758	11.244312
98.281683	18.332851	16.065641
98.281709	18.397844	11.244312
98.281827	18.332805	16.065641
98.281901	18.398014	27.732998
98.281996	18.332714	20.497037
98.282093	18.398266	34.617183
98.282189	18.332646	12.955842
98.282309	18.332623	12.955842
98.282573	18.398955	78.397691
98.282695	18.33251	42.069315
98.283005	18.399528	46.918867
98.283056	18.33235	37.774522
98.283293	18.39985	46.918867
98.283386	18.994827	26.236992
98.283393	18.332237	12.637599
98.283409	18.995263	12.717577
98.283505	18.995332	12.717577
98.283508	18.994621	26.236992
98.283509	18.332209	12.637599
98.283669	18.997076	10.195997
98.283669	18.996984	10.195997
98.283671	18.996525	14.857636
98.283744	18.996411	12.996425
98.283765	18.997282	25.096825
98.283768	18.996296	12.996425
98.283779	18.332146	11.369445
98.283819	18.995608	19.412639
98.283841	18.996182	14.857636
98.283866	18.99593	18.028129
98.283871	18.994324	41.072901
98.283875	18.3321	2.420623
98.283891	18.995769	18.028129
98.283897	18.332095	2.420623
98.284006	18.997398	10.166363
98.284013	18.400493	21.875102
98.284103	18.997398	10.166363
98.284182	18.400608	21.875102
98.284234	18.994188	14.828797
98.284239	18.331875	35.596969
98.284344	18.99749	12.710135
98.28435	18.400746	16.067762
98.284355	18.994119	12.70747
98.284465	18.997491	12.710135
98.284476	18.99412	12.70747
98.284494	18.400792	10.798854
98.284566	18.331796	35.596969
