LONG	LAT	RI	REAL_VALUE	ROUNDUP	NORMALIZED	NORMALIZE1
99.21523	19.8605	15.000000000	10000	1	1	0.26
99.22523	19.8605	15.000000000	20000	1	2	0.52
99.24523	19.8605	15.000000000	10000	1	1	0.26
99.25523	19.8605	15.000000000	10000	1	1	0.26
99.16523	19.8505	15.000000000	10000	1	1	0.26
99.17523	19.8505	15.000000000	10000	1	1	0.26
99.18523	19.8505	15.000000000	20000	1	2	0.52
99.20523	19.8505	15.000000000	20000	1	2	0.52
99.22523	19.8505	15.000000000	10000	1	1	0.26
99.24523	19.8505	15.000000000	10000	1	1	0.26
99.14523	19.8405	15.000000000	10000	1	1	0.26
99.17523	19.8405	15.000000000	10000	1	1	0.26
99.18523	19.8405	15.000000000	30000	1	3	0.78
99.20523	19.8405	15.000000000	10000	1	1	0.26
99.22523	19.8405	15.000000000	10000	1	1	0.26
99.23523	19.8405	15.000000000	10000	1	1	0.26
99.17523	19.8305	15.000000000	20000	1	2	0.52
99.20523	19.8305	15.000000000	10000	1	1	0.26
99.21523	19.8305	15.000000000	10000	1	1	0.26
99.22523	19.8305	15.000000000	10000	1	1	0.26
99.17523	19.8205	15.000000000	10000	1	1	0.26
99.18523	19.8205	15.000000000	10000	1	1	0.26
99.19523	19.8205	15.000000000	10000	1	1	0.26
99.20523	19.8205	15.000000000	10000	1	1	0.26
99.21523	19.8205	15.000000000	10000	1	1	0.26
99.13523	19.8105	15.000000000	10000	1	1	0.26
99.14523	19.8105	15.000000000	10000	1	1	0.26
99.17523	19.8105	15.000000000	10000	1	1	0.26
99.19523	19.8105	15.000000000	20000	1	2	0.52
99.15523	19.8005	15.000000000	10000	1	1	0.26
99.17523	19.8005	15.000000000	20000	1	2	0.52
99.20523	19.8005	15.000000000	10000	1	1	0.26
99.21523	19.8005	15.000000000	10000	1	1	0.26
99.23523	19.8005	15.000000000	10000	1	1	0.26
99.12523	19.7905	15.000000000	10000	1	1	0.26
99.14523	19.7905	15.000000000	30000	1	3	0.78
99.15523	19.7905	15.000000000	30000	1	3	0.78
99.17523	19.7905	15.000000000	20000	1	2	0.52
99.18523	19.7905	15.000000000	10000	1	1	0.26
99.19523	19.7905	15.000000000	10000	1	1	0.26
99.13523	19.7805	15.000000000	10000	1	1	0.26
