LONG	LAT	DPGAG	MMIYAMAZAK	DISTKM	DPGAGAL
98.20801	17.54854	0.39	9	603.781883	385.52883150
98.20801	17.57354	0.39	9	603.185879	381.02855980
98.20801	17.59854	0.38	9	602.601836	368.19361620
98.20801	17.62354	0.36	9	602.029788	349.07947470
98.20801	17.64854	0.34	9	601.469770	330.23305480
98.20801	17.67354	0.33	9	600.921814	320.18123850
98.20801	17.69854	0.35	9	600.385955	342.02359010
98.20801	17.72354	0.36	9	599.862224	357.09837240
98.20801	17.74854	0.37	9	599.350653	362.56656050
98.20801	17.77354	0.37	9	598.851274	362.56656050
98.20801	17.79854	0.37	9	598.364117	364.46905060
98.20801	17.82354	0.37	9	597.889211	364.46905060
98.20801	17.84854	0.37	9	597.426587	359.09010310
98.20801	17.87354	0.36	9	596.976272	355.53911510
98.20801	17.89854	0.36	9	596.538295	357.09837240
98.20801	17.92354	0.37	9	596.112683	362.56656050
98.20801	17.94854	0.37	9	595.699462	362.56656050
98.20801	17.97354	0.36	9	595.298657	357.25920150
98.20801	18.09854	0.35	9	593.481744	345.23820990
98.20801	18.12354	0.36	9	593.155944	350.25038870
98.20801	18.14854	0.36	9	592.842721	357.09837240
98.20801	18.17354	0.37	9	592.542095	362.56656050
98.20801	18.19854	0.37	9	592.254086	362.56656050
98.20801	18.22354	0.37	9	591.978712	364.46905060
98.20801	18.24854	0.37	9	591.715990	359.09010310
98.20801	18.27354	0.35	9	591.465938	343.95353880
98.20801	18.29854	0.33	9	591.228572	321.93859020
98.20801	18.32354	0.35	9	591.003906	343.66130060
98.20801	18.34854	0.37	9	590.791956	358.92731270
98.20801	18.37354	0.37	9	590.592734	364.46905060
98.20801	18.39854	0.37	9	590.406255	364.46905060
98.20801	18.42354	0.37	9	590.232529	364.46905060
98.20801	18.44854	0.37	9	590.071569	364.46905060
98.20801	18.47354	0.37	9	589.923384	362.56656050
98.20801	18.49854	0.37	9	589.787985	362.56656050
98.20801	18.52354	0.36	9	589.665380	357.25920150
98.20801	18.62354	0.35	9	589.303047	345.23820990
98.20801	18.64854	0.36	9	589.244516	350.25038870
98.20801	18.67354	0.35	9	589.198814	345.38629030
98.20801	18.69854	0.34	9	589.165945	331.62952170
98.20801	18.72354	0.32	9	589.145910	313.87458190
98.20801	18.74854	0.30	9	589.138711	296.16965600
98.20801	18.77354	0.30	9	589.144349	291.56249180
98.20801	18.79854	0.31	9	589.162823	301.56331350
98.20801	18.82354	0.31	9	589.194132	305.12508880
98.20801	18.84854	0.31	9	589.238273	305.12508880
98.20801	18.87354	0.31	9	589.295245	301.66922530
98.20801	18.89854	0.30	9	589.244516	291.75568280
98.20801	18.92354	0.28	8	589.198814	276.85055550
98.20801	18.94854	0.26	8	589.165945	258.78572550
98.20801	18.97354	0.25	8	589.145910	243.73153710
98.20801	18.99854	0.26	8	589.138711	250.16371880
98.20801	19.02354	0.26	8	589.138711	252.42120970
98.20801	19.04854	0.26	8	589.144349	252.42120970
98.23301	17.57354	0.36	9	600.501087	357.62204750
98.23301	17.59854	0.35	9	599.914430	346.69842010
98.23301	17.62354	0.34	9	599.339817	330.23305480
98.23301	17.64854	0.32	9	598.777282	310.20493350
98.23301	17.67354	0.33	9	598.226861	321.56887950
98.23301	17.69854	0.35	9	597.688585	343.66130060
98.23301	17.72354	0.37	9	597.162488	358.92731270
98.23301	17.74854	0.37	9	596.648603	364.46905060
98.23301	17.77354	0.37	9	596.146960	364.46905060
98.23301	17.79854	0.37	9	595.657591	364.46905060
98.23301	17.82354	0.37	9	595.180527	359.09010310
98.23301	17.84854	0.36	9	594.715795	350.48770970
98.23301	17.87354	0.35	9	594.263426	343.66130060
98.23301	17.89854	0.37	9	593.823448	358.92731270
98.23301	17.92354	0.37	9	593.395889	364.46905060
98.23301	17.94854	0.37	9	592.980774	364.46905060
98.23301	17.97354	0.37	9	592.578131	359.09010310
98.23301	18.09854	0.36	9	590.752851	357.09837240
