Longitude	Latitude	Distance
98.67697	18.327238	10.67812
98.677107	18.327247	14.530676
98.677246	18.326931	35.259552
98.677258	18.327748	24.285868
98.677272	18.327248	14.53004
98.677344	18.327545	24.285868
98.677409	18.327257	11.028847
98.67751	18.327283	11.028847
98.677582	18.327694	14.788485
98.677684	18.327327	8.649807
98.67772	18.327721	3.984502
98.677756	18.327729	3.984502
98.677757	18.327362	8.649807
98.67783	18.327415	8.331387
98.677839	18.327712	7.03633
98.677894	18.327458	5.487151
98.677903	18.327695	5.65115
98.677931	18.327494	5.487151
98.677949	18.327668	3.49274
98.677949	18.327869	19.942606
98.677967	18.327642	3.49274
98.677985	18.327599	4.861695
98.677985	18.327555	4.861695
98.678014	18.326944	42.636568
98.678114	18.327406	7.777487
98.678114	18.327336	3.505332
98.678132	18.32731	3.505332
98.678132	18.32731	3.505332
98.67816	18.327468	3.081105
98.678169	18.327494	3.081105
98.678279	18.327319	15.490257
98.678462	18.327398	21.229383
98.678534	18.327844	30.280535
98.678587	18.327109	34.760661
98.678718	18.327565	13.204679
98.678734	18.328176	17.35497
98.678754	18.32802	6.115571
98.678791	18.327661	9.99697
98.678809	18.328037	3.861526
98.678837	18.32774	8.687569
98.678845	18.328037	3.861526
98.678873	18.32781	6.147546
98.678891	18.328011	2.171603
98.678892	18.327863	6.147546
98.6789	18.327994	2.171603
98.67891	18.327915	6.150294
98.679125	18.327329	50.346312
98.679674	18.327822	79.840226
98.680292	18.328365	88.889105
98.681721	17.447496	79.123619
98.681784	17.446787	58.700616
98.681842	18.369278	58.778417
98.681843	17.448205	73.444949
98.681857	18.368749	39.044911
98.681858	18.368398	39.044911
98.681964	18.367803	45.146455
98.681965	17.448855	65.570642
98.682016	18.369786	59.006879
98.682031	17.446315	49.990115
98.682112	18.367422	42.93599
98.682197	18.370288	58.503158
98.682216	17.445901	49.990115
98.682315	18.367088	42.93599
98.682333	17.449329	65.570642
98.682428	18.370767	58.503158
98.682586	17.44537	51.141442
98.68264	17.44992	56.108589
98.682824	17.450393	56.108589
98.682841	18.371815	55.075439
98.682863	18.36645	91.483662
98.682945	18.37133	55.075439
98.682956	17.445075	47.294177
98.68305	18.331184	42.801951
98.683203	17.444721	47.294177
98.683315	17.451103	94.580225
98.683416	18.331348	42.801951
98.683456	18.371732	20.153513
98.683544	18.365749	106.021601
98.68356	17.451931	81.251188
98.68361	18.371839	19.589171
98.683673	17.458018	59.495332
98.683722	18.37198	19.589171
98.683733	17.45855	59.498547
98.683735	17.457486	59.495332
98.683744	17.45264	79.112178
98.683758	17.444426	55.840436
98.683794	17.4592	60.563306
98.683798	17.456895	45.991515
98.683799	17.456481	45.991515
98.683804	17.453349	79.112178
98.683875	18.372361	45.407311
98.683916	17.459732	47.812342
98.683926	17.454177	72.576177
98.683984	17.45595	62.301066
98.683986	17.454827	60.56147
98.684039	17.460146	47.812342
98.684092	18.331859	91.115422
98.684108	17.455359	60.56147
98.684238	18.373001	80.763911
98.684251	17.44425	55.840436
98.684284	17.46056	43.380593
98.684329	18.365115	81.549552
98.684466	17.460909	40.441321
98.684629	17.600848	22.98605
98.684632	17.600642	22.98605
98.684675	17.596222	10.136091
98.684727	17.596145	10.136091
98.684742	18.374307	48.181362
98.684755	17.599667	17.918985
98.684767	17.461132	34.766091
98.68477	17.599507	17.918985
98.684795	17.59644	27.395277
98.684816	17.601104	34.661765
98.684818	17.59798	22.531037
98.684837	17.600518	25.739509
