LONG	LAT	DPGAG	MMIYAMAZAK	DISTKM	DPGAGAL
99.15801	17.34854	0.24	8	508.608002	236.46186750
99.15801	17.37354	0.27	8	507.781195	260.10275860
99.15801	17.39854	0.29	8	506.967958	285.16757540
99.15801	17.42354	0.32	9	506.168355	310.66388470
99.15801	17.44854	0.34	9	505.382450	334.90200080
99.15801	17.47354	0.36	9	504.610309	355.45379720
99.15801	17.49854	0.38	9	503.851994	369.47534540
99.15801	17.52354	0.38	9	503.107568	374.52773150
99.15801	17.54854	0.38	9	502.377092	374.52773150
99.15801	17.57354	0.38	9	501.660628	369.62342580
99.15801	17.59854	0.36	9	500.958235	355.72348010
99.15801	17.62354	0.37	9	500.269974	358.06923080
99.15801	17.64854	0.38	9	499.595901	369.11446070
99.15801	17.67354	0.38	9	498.936075	373.03908200
99.15801	17.69854	0.38	9	498.290553	373.03908200
99.15801	17.72354	0.38	9	497.659390	369.23017920
99.15801	17.74854	0.37	9	497.042640	358.28301580
99.15801	17.77354	0.35	9	496.440358	345.86877750
99.15801	17.79854	0.36	9	495.852596	357.40433990
99.15801	17.89854	0.36	9	493.647768	357.55242030
99.15801	17.92354	0.35	9	493.133361	343.71033390
99.15801	17.94854	0.33	9	492.633768	323.36349640
99.15801	17.97354	0.33	9	492.149034	322.06999930
99.15801	17.99854	0.36	9	491.679204	348.81959850
99.15801	18.02354	0.38	9	491.224320	374.08741290
99.15801	18.04854	0.40	9	490.784424	395.40510870
99.15801	18.07354	0.42	9	490.359556	409.89737600
99.15801	18.09854	0.42	9	489.949754	415.10961050
99.15801	18.12354	0.42	9	489.555058	415.10961050
99.15801	18.14854	0.43	9	489.175503	418.49584680
99.15801	18.17354	0.43	9	488.811124	424.01699070
99.15801	18.19854	0.43	9	488.461957	424.01699070
99.15801	18.22354	0.43	9	488.128032	418.65765650
99.15801	18.24854	0.41	9	487.809383	403.48284630
99.15801	18.27354	0.40	9	487.506038	397.12911770
99.15801	18.29854	0.41	9	487.218026	404.77634340
99.15801	18.32354	0.42	9	486.945374	416.66886790
99.18301	17.37354	0.27	8	505.158235	264.98450900
99.18301	17.39854	0.30	9	504.340768	291.29280890
99.18301	17.42354	0.32	9	503.536993	318.26207710
99.18301	17.44854	0.35	9	502.746975	344.11927120
99.18301	17.47354	0.37	9	501.970780	366.23032490
99.18301	17.49854	0.39	9	501.208472	381.42180640
99.18301	17.52354	0.39	9	500.460113	386.91843380
99.18301	17.54854	0.39	9	499.725768	386.91843380
99.18301	17.57354	0.39	9	499.005497	381.58263550
99.18301	17.59854	0.38	9	498.299362	369.62342580
99.18301	17.62354	0.36	9	497.607422	355.72348010
99.18301	17.64854	0.35	9	496.929738	342.64140900
99.18301	17.67354	0.35	9	496.266367	345.86877750
99.18301	17.69854	0.35	9	495.617368	345.86877750
99.18301	17.72354	0.35	9	494.982796	343.44163160
99.18301	17.74854	0.36	9	494.362707	357.40433990
99.18301	17.77354	0.37	9	493.757156	362.44201600
99.18301	17.79854	0.38	9	493.166196	369.32040030
