LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
98.450	17.400	39.000	0.000	2.000	1021	13	52.000	33.350	2217	PW4643	442175	1924275	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW4643	-52.00000000000
99.180	19.810	4.600	1.160	2.060	8557	13	18.000	18.000	764	G1008	519200	2190890	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G1008	-18.00000000000
99.260	18.590	7.500	7.500	3.410	9415	14	21.000	21.000	1395	G930	527810	2055839	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G930	-21.00000000000
98.690	18.850	16.500	21.000	6.600	1736	14	30.000	0.000	1548	DCD6483	468218	2084556	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD6483	-30.00000000000
98.260	18.140	24.000	12.000	1.140	328	14	37.500	0.000	2269	DCD6650	421795	2006863	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD6650	-37.50000000000
98.390	18.490	6.100	24.390	2.270	794	14	19.820	0.000	1160	AFD7050	436313	2045213	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7050	-19.82000000000
98.250	17.680	16.000	0.000	3.000	306	14	30.000	30.000	2220	5801A032	420825	1955523	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5801A032	-30.00000000000
98.620	18.060	19.300	4.500	18.000	1422	14	33.500	30.300	358	PW3473	459821	1997018	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW3473	-33.50000000000
99.100	18.690	9.780	1.070	2.770	7239	14	24.000	24.000	1675	G982	511155	2067519	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G982	-24.00000000000
98.840	18.600	1.550	0.940	6.550	3293	15	16.500	15.000	1801	G884	483534	2057650	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G884	-16.50000000000
99.300	18.730	5.000	9.000	2.000	9754	15	20.000	18.200	1367	PW23070	532071	2071564	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW23070	-20.00000000000
99.170	19.190	9.000	10.500	4.540	8381	15	24.000	0.000	1031	DCD6174	518119	2122510	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD6174	-24.00000000000
99.200	18.830	9.000	15.000	5.500	8788	15	24.000	0.000	497	DCD6031	521752	2082976	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD6031	-24.00000000000
98.820	18.920	81.000	8.000	2.000	3010	15	96.000	96.000	1306	CM278	481048	2093054	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=CM278	-96.00000000000
99.010	18.780	13.720	25.910	9.090	5926	15	28.960	0.000	1095	AFD6985	501160	2076582	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD6985	-28.96000000000
99.120	18.900	2.700	0.000	35.000	7603	15	18.000	12.100	651	PW4291	513585	2090446	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW4291	-18.00000000000
98.890	18.970	2.000	5.000	5.500	4449	16	18.000	0.000	1279	DCD6388	489134	2097665	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD6388	-18.00000000000
99.180	19.810	2.000	12.000	2.300	8558	16	18.000	0.000	857	DCD6087	519562	2190673	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD6087	-18.00000000000
98.830	18.630	1.520	3.180	7.200	3205	16	18.000	18.000	1940	G753	482937	2060600	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G753	-18.00000000000
99.180	19.210	1.500	3.600	1.820	8537	17	18.000	0.000	1056	DCD6175	519380	2124775	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD6175	-18.00000000000
99.170	19.910	1.500	4.000	10.000	8434	17	18.000	16.000	783	TG199	518541	2201744	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=TG199	-18.00000000000
99.160	19.370	1.500	18.000	1.140	8218	17	18.000	18.000	1003	G1122	516884	2142527	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G1122	-18.00000000000
99.110	19.690	7.500	2.500	7.000	7421	17	24.000	18.200	312	PW5981	511898	2178013	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW5981	-24.00000000000
99.180	19.400	15.240	16.770	4.550	8551	17	32.010	0.000	1010	AFD7178	519120	2145153	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7178	-32.01000000000
98.960	18.940	4.140	0.220	18.010	5351	17	21.000	21.000	1316	G1162	496775	2094303	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G1162	-21.00000000000
98.870	18.530	1.020	0.900	8.000	3995	17	18.000	18.000	1896	G1022	486787	2049371	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G1022	-18.00000000000
99.160	19.720	1.000	10.000	6.000	8232	17	18.000	16.000	314	TG205	517787	2180857	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=TG205	-18.00000000000
98.830	18.640	12.000	8.000	3.000	3208	17	29.000	0.000	1848	DCD6549	483026	2061937	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD6549	-29.00000000000
99.270	20.020	7.400	10.600	4.000	9534	17	24.500	24.310	1415	PW3535	529020	2214128	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW3535	-24.50000000000
