LONG	LAT	RI	REAL_VALUE	ROUNDUP	NORMALIZED	NORMALIZE1
99.03523	18.5905	15.000000000	10000	1	1	0.26
99.05523	18.5905	15.000000000	10000	1	1	0.26
99.09523	18.5905	15.000000000	10000	1	1	0.26
98.96523	18.5805	15.000000000	10000	1	1	0.26
99.01523	18.5805	15.000000000	10000	1	1	0.26
99.02523	18.5805	15.000000000	30000	1	3	0.78
99.04523	18.5805	15.000000000	10000	1	1	0.26
99.06523	18.5805	15.000000000	10000	1	1	0.26
98.95523	18.5705	15.000000000	10000	1	1	0.26
98.96523	18.5705	15.000000000	20000	1	2	0.52
98.99523	18.5705	15.000000000	10000	1	1	0.26
99.00523	18.5705	15.000000000	10000	1	1	0.26
99.02523	18.5705	15.000000000	10000	1	1	0.26
99.03523	18.5705	15.000000000	30000	1	3	0.78
99.04523	18.5705	15.000000000	20000	1	2	0.52
99.05523	18.5705	15.000000000	20000	1	2	0.52
99.06523	18.5705	15.000000000	10000	1	1	0.26
99.07523	18.5705	15.000000000	10000	1	1	0.26
99.08523	18.5705	15.000000000	30000	1	3	0.78
99.09523	18.5705	15.000000000	20000	1	2	0.52
99.10523	18.5705	15.000000000	20000	1	2	0.52
99.25523	18.5705	15.000000000	10000	1	1	0.26
98.95523	18.5605	15.000000000	30000	1	3	0.78
98.98523	18.5605	15.000000000	30000	1	3	0.78
99.00523	18.5605	15.000000000	20000	1	2	0.52
99.01523	18.5605	15.000000000	20000	1	2	0.52
99.02523	18.5605	15.000000000	20000	1	2	0.52
99.06523	18.5605	15.000000000	20000	1	2	0.52
99.07523	18.5605	15.000000000	30000	1	3	0.78
99.08523	18.5605	15.000000000	30000	1	3	0.78
98.93523	18.5505	15.000000000	10000	1	1	0.26
98.94523	18.5505	15.000000000	20000	1	2	0.52
98.96523	18.5505	15.000000000	10000	1	1	0.26
98.97523	18.5505	15.000000000	10000	1	1	0.26
98.98523	18.5505	15.000000000	30000	1	3	0.78
99.00523	18.5505	15.000000000	30000	1	3	0.78
99.03523	18.5505	15.000000000	20000	1	2	0.52
99.04523	18.5505	15.000000000	10000	1	1	0.26
99.05523	18.5505	15.000000000	30000	1	3	0.78
99.06523	18.5505	15.000000000	20000	1	2	0.52
99.08523	18.5505	15.000000000	20000	1	2	0.52
98.93523	18.5405	15.000000000	10000	1	1	0.26
98.95523	18.5405	15.000000000	20000	1	2	0.52
98.96523	18.5405	15.000000000	30000	1	3	0.78
99.02523	18.5405	15.000000000	20000	1	2	0.52
99.03523	18.5405	15.000000000	10000	1	1	0.26
99.05523	18.5405	15.000000000	10000	1	1	0.26
99.07523	18.5405	15.000000000	20000	1	2	0.52
99.08523	18.5405	15.000000000	20000	1	2	0.52
99.09523	18.5405	15.000000000	10000	1	1	0.26
99.10523	18.5405	15.000000000	10000	1	1	0.26
98.91523	18.5305	15.000000000	10000	1	1	0.26
98.95523	18.5305	15.000000000	20000	1	2	0.52
98.96523	18.5305	15.000000000	20000	1	2	0.52
99.00523	18.5305	15.000000000	30000	1	3	0.78
99.01523	18.5305	15.000000000	20000	1	2	0.52
99.05523	18.5305	15.000000000	10000	1	1	0.26
99.06523	18.5305	15.000000000	10000	1	1	0.26
99.08523	18.5305	15.000000000	10000	1	1	0.26
99.09523	18.5305	15.000000000	10000	1	1	0.26
99.23523	18.5305	15.000000000	10000	1	1	0.26
98.89523	18.5205	15.000000000	10000	1	1	0.26
98.90523	18.5205	15.000000000	20000	1	2	0.52
98.91523	18.5205	15.000000000	30000	1	3	0.78
98.93523	18.5205	15.000000000	10000	1	1	0.26
98.94523	18.5205	15.000000000	10000	1	1	0.26
98.96523	18.5205	15.000000000	10000	1	1	0.26
