LONG	LAT	DPGAG	MMIYAMAZAK	DISTKM	DPGAGAL
98.98301	18.14854	0.43	9	508.246467	424.01699070
98.98301	18.17354	0.43	9	507.895771	424.01699070
98.98301	18.19854	0.43	9	507.559733	424.01699070
98.98301	18.22354	0.43	9	507.238381	424.01699070
98.98301	18.24854	0.43	9	506.931744	424.01699070
98.98301	18.27354	0.43	9	506.639848	418.65765650
98.98301	18.29854	0.43	9	506.362720	422.12332660
98.98301	18.32354	0.43	9	506.100382	424.01699070
98.98301	18.34854	0.43	9	505.852859	418.65765650
98.98301	18.37354	0.43	9	505.620171	424.01699070
98.98301	18.39854	0.43	9	505.402340	424.01699070
98.98301	18.42354	0.43	9	505.199385	424.01699070
98.98301	18.44854	0.43	9	505.011323	418.65765650
98.98301	18.47354	0.42	9	504.838171	410.05035980
98.98301	18.49854	0.40	9	504.679945	395.68361750
98.98301	18.52354	0.38	9	504.536659	374.44829760
98.98301	18.54854	0.36	9	504.408324	349.21970980
98.98301	18.57354	0.33	9	504.294954	322.47893660
98.98301	18.59854	0.30	9	504.196557	295.97548430
98.98301	18.62354	0.28	8	504.113143	270.76847120
99.00801	17.64854	0.40	9	515.611374	390.75479520
99.00801	17.67354	0.41	9	514.972069	404.77634340
99.00801	17.69854	0.42	9	514.346672	409.81205820
99.00801	17.72354	0.42	9	513.735235	409.81205820
99.00801	17.74854	0.42	9	513.137808	416.66886790
99.00801	17.77354	0.43	9	512.554439	422.12332660
99.00801	17.79854	0.43	9	511.985176	422.12332660
99.00801	17.82354	0.43	9	511.430067	424.01699070
99.00801	17.84854	0.43	9	510.889158	424.01699070
99.00801	17.87354	0.43	9	510.362493	424.01699070
99.00801	17.89854	0.43	9	509.850118	418.65765650
99.00801	17.92354	0.42	9	509.352074	410.05035980
99.00801	17.94854	0.40	9	508.868405	395.68361750
99.00801	17.97354	0.38	9	508.399150	374.44829760
99.00801	17.99854	0.39	9	507.944351	379.36633260
99.00801	18.02354	0.41	9	507.504046	401.53818760
99.00801	18.04854	0.42	9	507.078273	416.66886790
99.00801	18.07354	0.43	9	506.667068	422.12332660
99.00801	18.09854	0.43	9	506.270467	422.12332660
99.00801	18.12354	0.43	9	505.888504	416.82969690
99.00801	18.14854	0.42	9	505.521213	415.10961050
99.00801	18.17354	0.43	9	505.168625	418.49584680
99.00801	18.19854	0.43	9	504.830771	424.01699070
99.00801	18.22354	0.43	9	504.507681	418.65765650
99.00801	18.24854	0.42	9	504.199383	415.10961050
99.00801	18.27354	0.43	9	503.905905	418.49584680
99.00801	18.29854	0.43	9	503.627272	424.01699070
99.00801	18.32354	0.43	9	503.363509	424.01699070
99.00801	18.34854	0.43	9	503.114639	422.12332660
99.00801	18.37354	0.43	9	502.880684	418.49584680
99.00801	18.39854	0.43	9	502.661666	424.01699070
99.00801	18.42354	0.43	9	502.457604	418.65765650
99.00801	18.44854	0.42	9	502.268515	410.05035980
99.00801	18.47354	0.40	9	502.094418	395.68361750
99.00801	18.49854	0.39	9	501.935327	379.80959320
99.00801	18.52354	0.37	9	501.791256	360.67093500
99.00801	18.54854	0.34	9	501.662220	337.67336010
99.00801	18.57354	0.32	9	501.548229	313.01061600
99.00801	18.59854	0.29	8	501.449293	288.30374200
99.00801	18.62354	0.27	8	501.365422	264.58145570
99.00801	18.64854	0.25	8	501.296623	242.41058140
99.03301	17.62354	0.40	9	513.596554	390.75479520
99.03301	17.64854	0.41	9	512.939995	404.77634340
99.03301	17.67354	0.42	9	512.297357	416.66886790
99.03301	17.69854	0.43	9	511.668691	422.12332660
99.03301	17.72354	0.43	9	511.054050	422.12332660
99.03301	17.74854	0.43	9	510.453485	422.12332660
99.03301	17.77354	0.43	9	509.867045	424.01699070
99.03301	17.79854	0.43	9	509.294778	424.01699070
99.03301	17.82354	0.43	9	508.736733	424.01699070
99.03301	17.84854	0.43	9	508.192957	418.65765650
99.03301	17.87354	0.42	9	507.663496	415.10961050
99.03301	17.89854	0.42	9	507.148393	410.05035980
99.03301	17.92354	0.40	9	506.647694	395.68361750
99.03301	17.94854	0.39	9	506.161440	379.80959320
99.03301	17.97354	0.37	9	505.689674	360.67093500
99.03301	17.99854	0.39	9	505.232436	380.78339350
99.03301	18.02354	0.41	9	504.789765	403.18864680
99.03301	18.04854	0.43	9	504.361701	418.49584680
99.03301	18.07354	0.43	9	503.948279	424.01699070
99.03301	18.09854	0.43	9	503.549537	424.01699070
99.03301	18.12354	0.43	9	503.165508	418.65765650
99.03301	18.14854	0.41	9	502.796228	403.48284630
99.03301	18.17354	0.42	9	502.441728	409.89737600
99.03301	18.19854	0.42	9	502.102039	415.10961050
